Algorithms,Shorthand,Category,Category2
Adaptive Boosting,ADB,ensemble learning algorithm,
Apriori Algorithm,AA,association rule algorithm,
back propagation,BP,deep learning algorithm,
balanced iterative reducing and clustering using hierarchies,BIRCH,clustering algorithm,
Bayesian Belief Network,BBN,probabilistic model,
Bayesian network,BN,probabilistic model,
Bayesian Regression,BR,regression algorithm,
Bootstrap aggregating,BA,ensemble learning algorithm,
Bernoulli Naïve Bayes,BNB,classification algorithm,
canonical correlation analysis,CCA,dimension reduction algorithm,
conditional random field,CRF,probabilistic model,
Convolutional Neural Network,CNN,deep learning algorithm,
Conditional Decision Trees,CDT,classification algorithm,
Complement Naïve Bayes,CONB,classification algorithm,
Classification and Regression Tree,CART,classification algorithm,
Categorical Naïve Bayes,CANB,classification algorithm,
Chi-squared Automatic Interaction Detection,CHAID,classification algorithm,regression algorithm
Decision Tree,DT,classification algorithm,regression algorithm
Deep Belief Network,DBN,deep learning algorithm,
deep Neural Network,DNN,deep learning algorithm,
Eclat Algorithm,EA,association rule algorithm,
Deep Boltzmann Machine,DBM,deep learning algorithm,
Density-based spatial clustering of applications with noise,DBSCAN,clustering algorithm,
elastic net regression,ENR,regression algorithm,
Expectation Maximization,EM,clustering algorithm,
Factor Analysis,FA,dimension reduction algorithm,
Federated Learning,FL,other,
Fuzzy clustering,FC,clustering algorithm,
Gaussian Process regression,GPR,regression algorithm,
Gradient Boosting Decision Tree,GBDT,ensemble learning algorithm,
Gaussian Mixtures,GM,clustering algorithm,
Gaussian Naïve Bayes,GNB,classification algorithm,
Gaussian Processes Classification,GPC,classification algorithm,
Generalized Linear Regression,GLR,regression algorithm,
Generative Adversarial Network,GAN,deep learning algorithm,
Genetic Algorithm,GA,other,
Gradient Boosted Regression Trees,GBRT,ensemble learning algorithm,
Gradient Boosting Machines,GBM,ensemble learning algorithm,
Hidden Markov Model,HMM,probabilistic model,
Hierarchical clustering,HC,clustering algorithm,
Hopfield Network,HN,artificial neural network,
Iterative Dichotomiser 3,ID3,classification algorithm,
Kernel ridge regression,KRR,regression algorithm,
K-Means,KM,clustering algorithm,
K-medians,KME,clustering algorithm,
k-nearest neighbor,KNN,clustering algorithm,
Learning Vector Quantization,LVQ,artificial neural network,
least absolute shrinkage and selection operator,Lasso,regression algorithm,
least angle regression,LARS,regression algorithm,
Linear Discriminant Analysis,LDA,dimension reduction algorithm,
Linear Regression,LRR,regression algorithm,
logistic regression,LR,regression algorithm,
long short term memory,LSTM,deep learning algorithm,
Locally Estimated Scatterplot Smoothing,LOESS,regression algorithm,
Multilayer Perceptron,MLP,artificial neural network,
Markov random fifield,MRF,probabilistic model,
Multidimensional Scaling,MDS,dimension reduction algorithm,
Multinomial Naïve Bayes,MNB,classification algorithm,
Multi-task Elastic-Net,MEN,regression algorithm,
Multi-task Lasso,MLASSO,regression algorithm,
Multivariate Adaptive Regression Splines,MARS,regression algorithm,
naive Bayes,NB,classification algorithm,
ordinary least squares,OLS,regression algorithm,
orthogonal matching pursuit,OMP,regression algorithm,
Partial least squares,PLS,dimension reduction algorithm,
Passive Aggressive Algorithms,PA,classification algorithm,
Perceptron,PE,artificial neural network,
Perceptron Neural Network,PNN,artificial neural network,
Polynomial regression,PR,regression algorithm,
Principal Component Regression,PCR,dimension reduction algorithm,
Principal Component Analysis,PCA,dimension reduction algorithm,
Quadratic Discriminant Analysis ,QDA,dimension reduction algorithm,
Radial Basis Function Network,RBFN,artificial neural network,
Random Forest,RF,ensemble learning algorithm,
recurrent neural network,RNN,deep learning algorithm,
Restricted Boltzmann Machine,RBN,deep learning algorithm,
ridge regression,RIR,regression algorithm,
Robustness regression,RR,regression algorithm,
Sammon Mapping,SM,dimension reduction algorithm,
Spectral Clustering,SC,clustering algorithm,
Self-Organizing Map,SOM,artificial neural network,
Stacked Auto-encoders,SA,deep learning algorithm,
Stacked Generaization,SG,ensemble learning algorithm,
Stacking,STA,ensemble learning algorithm,
Stepwise Regression,SR,regression algorithm,
stochastic gradient descent,SGD,dimension reduction algorithm,
Support Vector Machine,SVM,classification algorithm,
Support Vector regression,SVR,regression algorithm,
Agglomerative Clustering,AC,clustering algorithm,
Averaged One-Dependence Estimators,AODE,classification algorithm,regression algorithm
Transfer Learning,TL,other,
XGBoost,XB,ensemble learning algorithm,
CatBoost,CB,ensemble learning algorithm,
LightGBM,LGBM,ensemble learning algorithm,
