PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35964150,Chemical named entity recognition in the texts of scientific publications using the naïve Bayes classifier approach,"Tarasova OA, Rudik AV, Biziukova NY, Filimonov DA, Poroikov VV.",J Cheminform. 2022 Aug 13;14(1):55. doi: 10.1186/s13321-022-00633-4.,Tarasova OA,J Cheminform,2022,2022/08/13,PMC9375066,,10.1186/s13321-022-00633-4
35910813,Product pricing solutions using hybrid machine learning algorithm,"Namburu A, Selvaraj P, Varsha M.",Innov Syst Softw Eng. 2022 Jul 25:1-12. doi: 10.1007/s11334-022-00465-3. Online ahead of print.,Namburu A,Innov Syst Softw Eng,2022,2022/08/01,PMC9309595,,10.1007/s11334-022-00465-3
35919705,COVID-19 infection prediction from CT scan images of lungs using Iterative Convolution Neural Network model,"M M, P S.",Adv Eng Softw. 2022 Nov;173:103214. doi: 10.1016/j.advengsoft.2022.103214. Epub 2022 Jul 29.,M M,Adv Eng Softw,2022,2022/08/03,PMC9335012,,10.1016/j.advengsoft.2022.103214
35909945,Follow-up COVID-19 PCR result up to day 5 with clinical features predicts positivity for inconclusive results,"Park SS, Hong DJ, Gatchalian KK, Oh HY.",J Clin Virol Plus. 2022 Aug;2(3):100100. doi: 10.1016/j.jcvp.2022.100100. Epub 2022 Jul 23.,Park SS,J Clin Virol Plus,2022,2022/08/01,PMC9308491,,10.1016/j.jcvp.2022.100100
35891245,Real-World Effectiveness of Mix-and-Match Vaccine Regimens against SARS-CoV-2 Delta Variant in Thailand: A Nationwide Test-Negative Matched Case-Control Study,"Suphanchaimat R, Nittayasoot N, Jiraphongsa C, Thammawijaya P, Bumrungwong P, Tulyathan A, Cheewaruangroj N, Pittayawonganon C, Tharmaphornpilas P.",Vaccines (Basel). 2022 Jul 5;10(7):1080. doi: 10.3390/vaccines10071080.,Suphanchaimat R,Vaccines (Basel),2022,2022/07/27,PMC9315782,,10.3390/vaccines10071080
35900859,Detection of SARS-CoV-2 infection in thyroid follicular cells from a COVID-19 autopsy series,"Macedo S, Pestana A, Santos L, Neves C, Guimarães S, Duarte-Neto A, Dolhnikoff M, Saldiva P, Alves G, Oliveira R, Cabanes D, Carneiro F, Sobrinho-Simões M, Soares P.",Eur Thyroid J. 2022 Jul 19;11(4):e220074. doi: 10.1530/ETJ-22-0074. Print 2022 Aug 1.,Macedo S,Eur Thyroid J,2022,2022/07/28,PMC9346336,,10.1530/ETJ-22-0074
35918837,Increased Body Mass Index and Metabolic Syndrome Are Associated with Poor Outcomes in SARS-CoV-2-Positive Emergency Department Patients,"Thoppil JJ, Stewart LK, Pung L, Nordenholz KE, Camargo CA, Courtney DM, Kline JA; RECOVER Network.",J Obes Metab Syndr. 2022 Sep 30;31(3):245-253. doi: 10.7570/jomes22011. Epub 2022 Aug 3.,Thoppil JJ,J Obes Metab Syndr,2022,2022/08/03,PMC9579471,,10.7570/jomes22011
35922645,Assessing the impact of long-term exposure to nine outdoor air pollutants on COVID-19 spatial spread and related mortality in 107 Italian provinces,Perone G.,Sci Rep. 2022 Aug 3;12(1):13317. doi: 10.1038/s41598-022-17215-x.,Perone G,Sci Rep,2022,2022/08/03,PMC9349267,,10.1038/s41598-022-17215-x
35956046,Lower SARS-CoV-2 Seroprevalence among Cancer Patients in Sub-Saharan Africa,"Tso FY, Lidenge SJ, Ngowi JR, Peña PB, Clegg AA, Ngalamika O, Mwita CJ, Mwaiselage J, Wood C.",J Clin Med. 2022 Jul 29;11(15):4428. doi: 10.3390/jcm11154428.,Tso FY,J Clin Med,2022,2022/08/12,PMC9369079,,10.3390/jcm11154428
35957970,Evaluation of a novel SARS-CoV-2 rapid antigenic test diagnostic value in respiratory samples; is the reported test accuracy similar to values in the real-world? A cross-sectional study,"Hatami H, Rezaeian A.",Health Sci Rep. 2022 Aug 10;5(5):e765. doi: 10.1002/hsr2.765. eCollection 2022 Sep.,Hatami H,Health Sci Rep,2022,2022/08/12,PMC9364431,,10.1002/hsr2.765
35891675,Nosocomial COVID-19. Prospective study in a referral hospital,"Escolà-Vergé L, Borràs-Bermejo B, Los-Arcos I, Esperalba J, Ferrer C, Fernández-Hidalgo N.",Med Clin (Engl Ed). 2022 Aug 12;159(3):134-136. doi: 10.1016/j.medcle.2021.07.025. Epub 2022 Jul 22.,Escolà-Vergé L,Med Clin (Engl Ed),2022,2022/07/27,PMC9304152,,10.1016/j.medcle.2021.07.025
35915660,Real-time assessment of the Ganga river during pandemic COVID-19 and predictive data modeling by machine learning,"Singh J, Swaroop S, Sharma P, Mishra V.",Int J Environ Sci Technol (Tehran). 2023;20(7):7887-7910. doi: 10.1007/s13762-022-04423-1. Epub 2022 Jul 27.,Singh J,Int J Environ Sci Technol (Tehran),2023,2022/08/02,PMC9328014,,10.1007/s13762-022-04423-1
35974970,The Role of Oral Health in the Acquisition and Severity of SARS-CoV-2: A Retrospective Chart Review,"Wadhwa S, Dave S, Daily ML, Nardone A, Li R, Rosario J, Cantos A, Shah J, Lu HH, McMahon DJ, Yin MT.",Saudi Dent J. 2022 Nov;34(7):596-603. doi: 10.1016/j.sdentj.2022.08.001. Epub 2022 Aug 12.,Wadhwa S,Saudi Dent J,2022,2022/08/17,PMC9371763,,10.1016/j.sdentj.2022.08.001
